코드,일정,구분,크루즈,종류,금액,시작일자,끝일자,비고,별도요금
R1596,1박2일,성인,엠바사더 시그니처,이그제큐티브,"3,850,000",2025-01-01,2025-08-29,베트남동,
R1597,1박2일,아동,엠바사더 시그니처,이그제큐티브,"2,650,000",2025-01-01,2025-08-29,베트남동,
R1598,1박2일,엑스트라,엠바사더 시그니처,이그제큐티브,"3,850,000",2025-01-01,2025-08-29,베트남동,
R1599,1박2일,싱글차지,엠바사더 시그니처,이그제큐티브,"7,000,000",2025-01-01,2025-08-29,베트남동,
R1600,1박2일,성인,엠바사더 시그니처,발코니 스위트,"4,550,000",2025-01-01,2025-08-29,베트남동,
R1601,1박2일,아동,엠바사더 시그니처,발코니 스위트,"2,650,000",2025-01-01,2025-08-29,베트남동,
R1602,1박2일,엑스트라,엠바사더 시그니처,발코니 스위트,"4,550,000",2025-01-01,2025-08-29,베트남동,
R1603,1박2일,싱글차지,엠바사더 시그니처,발코니 스위트,"8,400,000",2025-01-01,2025-08-29,베트남동,
R1604,1박2일,성인,엠바사더 시그니처,캡틴 뷰 스위트,"4,900,000",2025-01-01,2025-08-29,베트남동,
R1605,1박2일,아동,엠바사더 시그니처,캡틴 뷰 스위트,"2,650,000",2025-01-01,2025-08-29,베트남동,
R1606,1박2일,엑스트라,엠바사더 시그니처,캡틴 뷰 스위트,"4,900,000",2025-01-01,2025-08-29,베트남동,
R1607,1박2일,싱글차지,엠바사더 시그니처,캡틴 뷰 스위트,"9,150,000",2025-01-01,2025-08-29,베트남동,
R1608,1박2일,성인,엠바사더 시그니처,발코니 룸,"4,950,000",2025-08-30,2025-09-02,신용카드_리무진,
R1609,1박2일,아동,엠바사더 시그니처,발코니 룸,"3,800,000",2025-08-30,2025-09-02,신용카드_리무진,
R1610,1박2일,엑스트라,엠바사더 시그니처,발코니 룸,"4,950,000",2025-08-30,2025-09-02,신용카드_리무진,
R1611,1박2일,싱글차지,엠바사더 시그니처,발코니 룸,"7,950,000",2025-08-30,2025-09-02,신용카드_리무진,
R1612,1박2일,성인,엠바사더 시그니처,이그제큐티브,"5,200,000",2025-08-30,2025-09-02,신용카드_리무진,
R1613,1박2일,아동,엠바사더 시그니처,이그제큐티브,"3,900,000",2025-08-30,2025-09-02,신용카드_리무진,
R1614,1박2일,엑스트라,엠바사더 시그니처,이그제큐티브,"5,200,000",2025-08-30,2025-09-02,신용카드_리무진,
R1615,1박2일,싱글차지,엠바사더 시그니처,이그제큐티브,"8,450,000",2025-08-30,2025-09-02,신용카드_리무진,
R1616,1박2일,성인,엠바사더 시그니처,발코니 스위트,"5,900,000",2025-08-30,2025-09-02,신용카드_리무진,
R1617,1박2일,아동,엠바사더 시그니처,발코니 스위트,"3,900,000",2025-08-30,2025-09-02,신용카드_리무진,
R1618,1박2일,엑스트라,엠바사더 시그니처,발코니 스위트,"5,900,000",2025-08-30,2025-09-02,신용카드_리무진,
R1619,1박2일,싱글차지,엠바사더 시그니처,발코니 스위트,"9,900,000",2025-08-30,2025-09-02,신용카드_리무진,
R1620,1박2일,성인,엠바사더 시그니처,캡틴 뷰 스위트,"6,250,000",2025-08-30,2025-09-02,신용카드_리무진,
R1621,1박2일,아동,엠바사더 시그니처,캡틴 뷰 스위트,"3,900,000",2025-08-30,2025-09-02,신용카드_리무진,
R1622,1박2일,엑스트라,엠바사더 시그니처,캡틴 뷰 스위트,"6,250,000",2025-08-30,2025-09-02,신용카드_리무진,
R1623,1박2일,싱글차지,엠바사더 시그니처,캡틴 뷰 스위트,"10,600,000",2025-08-30,2025-09-02,신용카드_리무진,
R1624,1박2일,성인,엠바사더 시그니처,발코니 룸,"4,550,000",2025-08-30,2025-09-02,신용카드,
R1625,1박2일,아동,엠바사더 시그니처,발코니 룸,"3,400,000",2025-08-30,2025-09-02,신용카드,
R1626,1박2일,엑스트라,엠바사더 시그니처,발코니 룸,"4,550,000",2025-08-30,2025-09-02,신용카드,
R1627,1박2일,싱글차지,엠바사더 시그니처,발코니 룸,"7,500,000",2025-08-30,2025-09-02,신용카드,
R1628,1박2일,성인,엠바사더 시그니처,이그제큐티브,"4,800,000",2025-08-30,2025-09-02,신용카드,
R1629,1박2일,아동,엠바사더 시그니처,이그제큐티브,"3,550,000",2025-08-30,2025-09-02,신용카드,
R1630,1박2일,엑스트라,엠바사더 시그니처,이그제큐티브,"4,800,000",2025-08-30,2025-09-02,신용카드,
R1631,1박2일,싱글차지,엠바사더 시그니처,이그제큐티브,"8,000,000",2025-08-30,2025-09-02,신용카드,
R1632,1박2일,성인,엠바사더 시그니처,발코니 스위트,"5,500,000",2025-08-30,2025-09-02,신용카드,
R1633,1박2일,아동,엠바사더 시그니처,발코니 스위트,"3,550,000",2025-08-30,2025-09-02,신용카드,
R1634,1박2일,엑스트라,엠바사더 시그니처,발코니 스위트,"5,500,000",2025-08-30,2025-09-02,신용카드,
R1635,1박2일,싱글차지,엠바사더 시그니처,발코니 스위트,"9,500,000",2025-08-30,2025-09-02,신용카드,
R1636,1박2일,성인,엠바사더 시그니처,캡틴 뷰 스위트,"5,850,000",2025-08-30,2025-09-02,신용카드,
R1637,1박2일,아동,엠바사더 시그니처,캡틴 뷰 스위트,"3,550,000",2025-08-30,2025-09-02,신용카드,
R1638,1박2일,엑스트라,엠바사더 시그니처,캡틴 뷰 스위트,"5,850,000",2025-08-30,2025-09-02,신용카드,
R1639,1박2일,싱글차지,엠바사더 시그니처,캡틴 뷰 스위트,"10,150,000",2025-08-30,2025-09-02,신용카드,
R1640,1박2일,성인,엠바사더 시그니처,발코니 룸,"4,800,000",2025-08-30,2025-09-02,베트남동_리무진,
R1641,1박2일,아동,엠바사더 시그니처,발코니 룸,"3,700,000",2025-08-30,2025-09-02,베트남동_리무진,
R1642,1박2일,엑스트라,엠바사더 시그니처,발코니 룸,"4,800,000",2025-08-30,2025-09-02,베트남동_리무진,
R1643,1박2일,싱글차지,엠바사더 시그니처,발코니 룸,"7,700,000",2025-08-30,2025-09-02,베트남동_리무진,
R1644,1박2일,성인,엠바사더 시그니처,이그제큐티브,"5,050,000",2025-08-30,2025-09-02,베트남동_리무진,
R1645,1박2일,아동,엠바사더 시그니처,이그제큐티브,"3,800,000",2025-08-30,2025-09-02,베트남동_리무진,
R1646,1박2일,엑스트라,엠바사더 시그니처,이그제큐티브,"5,050,000",2025-08-30,2025-09-02,베트남동_리무진,
R1647,1박2일,싱글차지,엠바사더 시그니처,이그제큐티브,"8,200,000",2025-08-30,2025-09-02,베트남동_리무진,
R1648,1박2일,성인,엠바사더 시그니처,발코니 스위트,"5,750,000",2025-08-30,2025-09-02,베트남동_리무진,
R1649,1박2일,아동,엠바사더 시그니처,발코니 스위트,"3,800,000",2025-08-30,2025-09-02,베트남동_리무진,
R1650,1박2일,엑스트라,엠바사더 시그니처,발코니 스위트,"5,750,000",2025-08-30,2025-09-02,베트남동_리무진,
R1651,1박2일,싱글차지,엠바사더 시그니처,발코니 스위트,"9,600,000",2025-08-30,2025-09-02,베트남동_리무진,
R1652,1박2일,성인,엠바사더 시그니처,캡틴 뷰 스위트,"6,050,000",2025-08-30,2025-09-02,베트남동_리무진,
R1653,1박2일,아동,엠바사더 시그니처,캡틴 뷰 스위트,"3,800,000",2025-08-30,2025-09-02,베트남동_리무진,
R1654,1박2일,엑스트라,엠바사더 시그니처,캡틴 뷰 스위트,"6,050,000",2025-08-30,2025-09-02,베트남동_리무진,
R1655,1박2일,싱글차지,엠바사더 시그니처,캡틴 뷰 스위트,"10,300,000",2025-08-30,2025-09-02,베트남동_리무진,
R1656,1박2일,성인,엠바사더 시그니처,발코니 룸,"4,400,000",2025-08-30,2025-09-02,베트남동,
R1657,1박2일,아동,엠바사더 시그니처,발코니 룸,"3,300,000",2025-08-30,2025-09-02,베트남동,
R1658,1박2일,엑스트라,엠바사더 시그니처,발코니 룸,"4,400,000",2025-08-30,2025-09-02,베트남동,
R1659,1박2일,싱글차지,엠바사더 시그니처,발코니 룸,"7,300,000",2025-08-30,2025-09-02,베트남동,
R1660,1박2일,성인,엠바사더 시그니처,이그제큐티브,"4,650,000",2025-08-30,2025-09-02,베트남동,
R1661,1박2일,아동,엠바사더 시그니처,이그제큐티브,"3,450,000",2025-08-30,2025-09-02,베트남동,
R1662,1박2일,엑스트라,엠바사더 시그니처,이그제큐티브,"4,650,000",2025-08-30,2025-09-02,베트남동,
R1663,1박2일,싱글차지,엠바사더 시그니처,이그제큐티브,"7,800,000",2025-08-30,2025-09-02,베트남동,
R1664,1박2일,성인,엠바사더 시그니처,발코니 스위트,"5,350,000",2025-08-30,2025-09-02,베트남동,
R1665,1박2일,아동,엠바사더 시그니처,발코니 스위트,"3,450,000",2025-08-30,2025-09-02,베트남동,
R1666,1박2일,엑스트라,엠바사더 시그니처,발코니 스위트,"5,350,000",2025-08-30,2025-09-02,베트남동,
R1667,1박2일,싱글차지,엠바사더 시그니처,발코니 스위트,"9,200,000",2025-08-30,2025-09-02,베트남동,
R1668,1박2일,성인,엠바사더 시그니처,캡틴 뷰 스위트,"5,700,000",2025-08-30,2025-09-02,베트남동,
R1669,1박2일,아동,엠바사더 시그니처,캡틴 뷰 스위트,"3,450,000",2025-08-30,2025-09-02,베트남동,
R1670,1박2일,엑스트라,엠바사더 시그니처,캡틴 뷰 스위트,"5,700,000",2025-08-30,2025-09-02,베트남동,
R1671,1박2일,싱글차지,엠바사더 시그니처,캡틴 뷰 스위트,"9,950,000",2025-08-30,2025-09-02,베트남동,
R1672,1박2일,성인,엠바사더 시그니처,발코니 룸,"4,150,000",2025-09-03,2025-12-23,신용카드_리무진,
R1673,1박2일,아동,엠바사더 시그니처,발코니 룸,"3,000,000",2025-09-03,2025-12-23,신용카드_리무진,
R1674,1박2일,엑스트라,엠바사더 시그니처,발코니 룸,"4,150,000",2025-09-03,2025-12-23,신용카드_리무진,
R1675,1박2일,싱글차지,엠바사더 시그니처,발코니 룸,"7,150,000",2025-09-03,2025-12-23,신용카드_리무진,
R1676,1박2일,성인,엠바사더 시그니처,이그제큐티브,"4,400,000",2025-09-03,2025-12-23,신용카드_리무진,
R1677,1박2일,아동,엠바사더 시그니처,이그제큐티브,"3,100,000",2025-09-03,2025-12-23,신용카드_리무진,
R1678,1박2일,엑스트라,엠바사더 시그니처,이그제큐티브,"4,400,000",2025-09-03,2025-12-23,신용카드_리무진,
R1679,1박2일,싱글차지,엠바사더 시그니처,이그제큐티브,"7,650,000",2025-09-03,2025-12-23,신용카드_리무진,
R1680,1박2일,성인,엠바사더 시그니처,발코니 스위트,"5,100,000",2025-09-03,2025-12-23,신용카드_리무진,
R1681,1박2일,아동,엠바사더 시그니처,발코니 스위트,"3,100,000",2025-09-03,2025-12-23,신용카드_리무진,
R1682,1박2일,엑스트라,엠바사더 시그니처,발코니 스위트,"5,100,000",2025-09-03,2025-12-23,신용카드_리무진,
R1683,1박2일,싱글차지,엠바사더 시그니처,발코니 스위트,"9,100,000",2025-09-03,2025-12-23,신용카드_리무진,
R1684,1박2일,성인,엠바사더 시그니처,캡틴 뷰 스위트,"5,450,000",2025-09-03,2025-12-23,신용카드_리무진,
R1685,1박2일,아동,엠바사더 시그니처,캡틴 뷰 스위트,"3,100,000",2025-09-03,2025-12-23,신용카드_리무진,
R1686,1박2일,엑스트라,엠바사더 시그니처,캡틴 뷰 스위트,"5,450,000",2025-09-03,2025-12-23,신용카드_리무진,
R1687,1박2일,싱글차지,엠바사더 시그니처,캡틴 뷰 스위트,"9,800,000",2025-09-03,2025-12-23,신용카드_리무진,
R1688,1박2일,성인,엠바사더 시그니처,발코니 룸,"3,750,000",2025-09-03,2025-12-23,신용카드,
R1689,1박2일,아동,엠바사더 시그니처,발코니 룸,"2,600,000",2025-09-03,2025-12-23,신용카드,
R1690,1박2일,엑스트라,엠바사더 시그니처,발코니 룸,"3,750,000",2025-09-03,2025-12-23,신용카드,
R1691,1박2일,싱글차지,엠바사더 시그니처,발코니 룸,"6,700,000",2025-09-03,2025-12-23,신용카드,
R1692,1박2일,성인,엠바사더 시그니처,이그제큐티브,"4,000,000",2025-09-03,2025-12-23,신용카드,
R1693,1박2일,아동,엠바사더 시그니처,이그제큐티브,"2,750,000",2025-09-03,2025-12-23,신용카드,
R1694,1박2일,엑스트라,엠바사더 시그니처,이그제큐티브,"4,000,000",2025-09-03,2025-12-23,신용카드,
R1695,1박2일,싱글차지,엠바사더 시그니처,이그제큐티브,"7,200,000",2025-09-03,2025-12-23,신용카드,
R1696,1박2일,성인,엠바사더 시그니처,발코니 스위트,"4,700,000",2025-09-03,2025-12-23,신용카드,
R1697,1박2일,아동,엠바사더 시그니처,발코니 스위트,"2,750,000",2025-09-03,2025-12-23,신용카드,
R1698,1박2일,엑스트라,엠바사더 시그니처,발코니 스위트,"4,700,000",2025-09-03,2025-12-23,신용카드,
R1699,1박2일,싱글차지,엠바사더 시그니처,발코니 스위트,"8,700,000",2025-09-03,2025-12-23,신용카드,
R1700,1박2일,성인,엠바사더 시그니처,캡틴 뷰 스위트,"5,050,000",2025-09-03,2025-12-23,신용카드,
R1701,1박2일,아동,엠바사더 시그니처,캡틴 뷰 스위트,"2,750,000",2025-09-03,2025-12-23,신용카드,
R1702,1박2일,엑스트라,엠바사더 시그니처,캡틴 뷰 스위트,"5,050,000",2025-09-03,2025-12-23,신용카드,
R1703,1박2일,싱글차지,엠바사더 시그니처,캡틴 뷰 스위트,"9,350,000",2025-09-03,2025-12-23,신용카드,
R1704,1박2일,성인,엠바사더 시그니처,발코니 룸,"4,000,000",2025-09-03,2025-12-23,베트남동_리무진,
R1705,1박2일,아동,엠바사더 시그니처,발코니 룸,"2,900,000",2025-09-03,2025-12-23,베트남동_리무진,
R1706,1박2일,엑스트라,엠바사더 시그니처,발코니 룸,"4,000,000",2025-09-03,2025-12-23,베트남동_리무진,
R1707,1박2일,싱글차지,엠바사더 시그니처,발코니 룸,"6,900,000",2025-09-03,2025-12-23,베트남동_리무진,
R1708,1박2일,성인,엠바사더 시그니처,이그제큐티브,"4,250,000",2025-09-03,2025-12-23,베트남동_리무진,
R1709,1박2일,아동,엠바사더 시그니처,이그제큐티브,"3,000,000",2025-09-03,2025-12-23,베트남동_리무진,
R1710,1박2일,엑스트라,엠바사더 시그니처,이그제큐티브,"4,250,000",2025-09-03,2025-12-23,베트남동_리무진,
R1711,1박2일,싱글차지,엠바사더 시그니처,이그제큐티브,"7,400,000",2025-09-03,2025-12-23,베트남동_리무진,
R1712,1박2일,성인,엠바사더 시그니처,발코니 스위트,"4,950,000",2025-09-03,2025-12-23,베트남동_리무진,
R1713,1박2일,아동,엠바사더 시그니처,발코니 스위트,"3,000,000",2025-09-03,2025-12-23,베트남동_리무진,
R1714,1박2일,엑스트라,엠바사더 시그니처,발코니 스위트,"4,950,000",2025-09-03,2025-12-23,베트남동_리무진,
R1715,1박2일,싱글차지,엠바사더 시그니처,발코니 스위트,"8,800,000",2025-09-03,2025-12-23,베트남동_리무진,
R1716,1박2일,성인,엠바사더 시그니처,캡틴 뷰 스위트,"5,250,000",2025-09-03,2025-12-23,베트남동_리무진,
R1717,1박2일,아동,엠바사더 시그니처,캡틴 뷰 스위트,"3,000,000",2025-09-03,2025-12-23,베트남동_리무진,
R1718,1박2일,엑스트라,엠바사더 시그니처,캡틴 뷰 스위트,"5,250,000",2025-09-03,2025-12-23,베트남동_리무진,
R1719,1박2일,싱글차지,엠바사더 시그니처,캡틴 뷰 스위트,"9,500,000",2025-09-03,2025-12-23,베트남동_리무진,
R1720,1박2일,성인,엠바사더 시그니처,발코니 룸,"3,600,000",2025-09-03,2025-12-23,베트남동,
R1721,1박2일,아동,엠바사더 시그니처,발코니 룸,"2,500,000",2025-09-03,2025-12-23,베트남동,
R1722,1박2일,엑스트라,엠바사더 시그니처,발코니 룸,"3,600,000",2025-09-03,2025-12-23,베트남동,
R1723,1박2일,싱글차지,엠바사더 시그니처,발코니 룸,"6,500,000",2025-09-03,2025-12-23,베트남동,
R1724,1박2일,성인,엠바사더 시그니처,이그제큐티브,"3,850,000",2025-09-03,2025-12-23,베트남동,
R1725,1박2일,아동,엠바사더 시그니처,이그제큐티브,"2,650,000",2025-09-03,2025-12-23,베트남동,
R1726,1박2일,엑스트라,엠바사더 시그니처,이그제큐티브,"3,850,000",2025-09-03,2025-12-23,베트남동,
R1727,1박2일,싱글차지,엠바사더 시그니처,이그제큐티브,"7,000,000",2025-09-03,2025-12-23,베트남동,
R1728,1박2일,성인,엠바사더 시그니처,발코니 스위트,"4,550,000",2025-09-03,2025-12-23,베트남동,
R1729,1박2일,아동,엠바사더 시그니처,발코니 스위트,"2,650,000",2025-09-03,2025-12-23,베트남동,
R1730,1박2일,엑스트라,엠바사더 시그니처,발코니 스위트,"4,550,000",2025-09-03,2025-12-23,베트남동,
R1731,1박2일,싱글차지,엠바사더 시그니처,발코니 스위트,"8,400,000",2025-09-03,2025-12-23,베트남동,
R1732,1박2일,성인,엠바사더 시그니처,캡틴 뷰 스위트,"4,900,000",2025-09-03,2025-12-23,베트남동,
R1733,1박2일,아동,엠바사더 시그니처,캡틴 뷰 스위트,"2,650,000",2025-09-03,2025-12-23,베트남동,
R1734,1박2일,엑스트라,엠바사더 시그니처,캡틴 뷰 스위트,"4,900,000",2025-09-03,2025-12-23,베트남동,
R1735,1박2일,싱글차지,엠바사더 시그니처,캡틴 뷰 스위트,"9,150,000",2025-09-03,2025-12-23,베트남동,
R1736,1박2일,성인,엠바사더 시그니처,발코니 룸,"5,500,000",2025-12-24,2025-12-24,신용카드_리무진,
R1737,1박2일,아동,엠바사더 시그니처,발코니 룸,"4,350,000",2025-12-24,2025-12-24,신용카드_리무진,
R1738,1박2일,엑스트라,엠바사더 시그니처,발코니 룸,"5,500,000",2025-12-24,2025-12-24,신용카드_리무진,
R1739,1박2일,싱글차지,엠바사더 시그니처,발코니 룸,"8,500,000",2025-12-24,2025-12-24,신용카드_리무진,
R1740,1박2일,성인,엠바사더 시그니처,이그제큐티브,"5,750,000",2025-12-24,2025-12-24,신용카드_리무진,
R1741,1박2일,아동,엠바사더 시그니처,이그제큐티브,"4,450,000",2025-12-24,2025-12-24,신용카드_리무진,
R1742,1박2일,엑스트라,엠바사더 시그니처,이그제큐티브,"5,750,000",2025-12-24,2025-12-24,신용카드_리무진,
R1743,1박2일,싱글차지,엠바사더 시그니처,이그제큐티브,"9,000,000",2025-12-24,2025-12-24,신용카드_리무진,
R1744,1박2일,성인,엠바사더 시그니처,발코니 스위트,"6,450,000",2025-12-24,2025-12-24,신용카드_리무진,
R1745,1박2일,아동,엠바사더 시그니처,발코니 스위트,"4,450,000",2025-12-24,2025-12-24,신용카드_리무진,
R1746,1박2일,엑스트라,엠바사더 시그니처,발코니 스위트,"6,450,000",2025-12-24,2025-12-24,신용카드_리무진,
R1747,1박2일,싱글차지,엠바사더 시그니처,발코니 스위트,"10,450,000",2025-12-24,2025-12-24,신용카드_리무진,
R1748,1박2일,성인,엠바사더 시그니처,캡틴 뷰 스위트,"6,800,000",2025-12-24,2025-12-24,신용카드_리무진,
R1749,1박2일,아동,엠바사더 시그니처,캡틴 뷰 스위트,"4,450,000",2025-12-24,2025-12-24,신용카드_리무진,
R1750,1박2일,엑스트라,엠바사더 시그니처,캡틴 뷰 스위트,"6,800,000",2025-12-24,2025-12-24,신용카드_리무진,
R1751,1박2일,싱글차지,엠바사더 시그니처,캡틴 뷰 스위트,"11,150,000",2025-12-24,2025-12-24,신용카드_리무진,
R1752,1박2일,성인,엠바사더 시그니처,발코니 룸,"5,100,000",2025-12-24,2025-12-24,신용카드,
R1753,1박2일,아동,엠바사더 시그니처,발코니 룸,"3,950,000",2025-12-24,2025-12-24,신용카드,
R1754,1박2일,엑스트라,엠바사더 시그니처,발코니 룸,"5,100,000",2025-12-24,2025-12-24,신용카드,
R1755,1박2일,싱글차지,엠바사더 시그니처,발코니 룸,"8,050,000",2025-12-24,2025-12-24,신용카드,
R1756,1박2일,성인,엠바사더 시그니처,이그제큐티브,"5,350,000",2025-12-24,2025-12-24,신용카드,
R1757,1박2일,아동,엠바사더 시그니처,이그제큐티브,"4,100,000",2025-12-24,2025-12-24,신용카드,
R1758,1박2일,엑스트라,엠바사더 시그니처,이그제큐티브,"5,350,000",2025-12-24,2025-12-24,신용카드,
R1759,1박2일,싱글차지,엠바사더 시그니처,이그제큐티브,"8,550,000",2025-12-24,2025-12-24,신용카드,
R1760,1박2일,성인,엠바사더 시그니처,발코니 스위트,"6,050,000",2025-12-24,2025-12-24,신용카드,
R1761,1박2일,아동,엠바사더 시그니처,발코니 스위트,"4,100,000",2025-12-24,2025-12-24,신용카드,
R1762,1박2일,엑스트라,엠바사더 시그니처,발코니 스위트,"6,050,000",2025-12-24,2025-12-24,신용카드,
R1763,1박2일,싱글차지,엠바사더 시그니처,발코니 스위트,"10,050,000",2025-12-24,2025-12-24,신용카드,
R1764,1박2일,성인,엠바사더 시그니처,캡틴 뷰 스위트,"6,400,000",2025-12-24,2025-12-24,신용카드,
R1765,1박2일,아동,엠바사더 시그니처,캡틴 뷰 스위트,"4,100,000",2025-12-24,2025-12-24,신용카드,
R1766,1박2일,엑스트라,엠바사더 시그니처,캡틴 뷰 스위트,"6,400,000",2025-12-24,2025-12-24,신용카드,
R1767,1박2일,싱글차지,엠바사더 시그니처,캡틴 뷰 스위트,"10,700,000",2025-12-24,2025-12-24,신용카드,
R1768,1박2일,성인,엠바사더 시그니처,발코니 룸,"5,350,000",2025-12-24,2025-12-24,베트남동_리무진,
R1769,1박2일,아동,엠바사더 시그니처,발코니 룸,"4,250,000",2025-12-24,2025-12-24,베트남동_리무진,
R1770,1박2일,엑스트라,엠바사더 시그니처,발코니 룸,"5,350,000",2025-12-24,2025-12-24,베트남동_리무진,
R1771,1박2일,싱글차지,엠바사더 시그니처,발코니 룸,"8,250,000",2025-12-24,2025-12-24,베트남동_리무진,
R1772,1박2일,성인,엠바사더 시그니처,이그제큐티브,"5,600,000",2025-12-24,2025-12-24,베트남동_리무진,
R1773,1박2일,아동,엠바사더 시그니처,이그제큐티브,"4,350,000",2025-12-24,2025-12-24,베트남동_리무진,
R1774,1박2일,엑스트라,엠바사더 시그니처,이그제큐티브,"5,600,000",2025-12-24,2025-12-24,베트남동_리무진,
R1775,1박2일,싱글차지,엠바사더 시그니처,이그제큐티브,"8,750,000",2025-12-24,2025-12-24,베트남동_리무진,
R1776,1박2일,성인,엠바사더 시그니처,발코니 스위트,"6,300,000",2025-12-24,2025-12-24,베트남동_리무진,
R1777,1박2일,아동,엠바사더 시그니처,발코니 스위트,"4,350,000",2025-12-24,2025-12-24,베트남동_리무진,
R1778,1박2일,엑스트라,엠바사더 시그니처,발코니 스위트,"6,300,000",2025-12-24,2025-12-24,베트남동_리무진,
R1779,1박2일,싱글차지,엠바사더 시그니처,발코니 스위트,"10,150,000",2025-12-24,2025-12-24,베트남동_리무진,
R1780,1박2일,성인,엠바사더 시그니처,캡틴 뷰 스위트,"6,600,000",2025-12-24,2025-12-24,베트남동_리무진,
R1781,1박2일,아동,엠바사더 시그니처,캡틴 뷰 스위트,"4,350,000",2025-12-24,2025-12-24,베트남동_리무진,
R1782,1박2일,엑스트라,엠바사더 시그니처,캡틴 뷰 스위트,"6,600,000",2025-12-24,2025-12-24,베트남동_리무진,
R1783,1박2일,싱글차지,엠바사더 시그니처,캡틴 뷰 스위트,"10,850,000",2025-12-24,2025-12-24,베트남동_리무진,
R1784,1박2일,성인,엠바사더 시그니처,발코니 룸,"4,950,000",2025-12-24,2025-12-24,베트남동,
R1785,1박2일,아동,엠바사더 시그니처,발코니 룸,"3,850,000",2025-12-24,2025-12-24,베트남동,
R1786,1박2일,엑스트라,엠바사더 시그니처,발코니 룸,"4,950,000",2025-12-24,2025-12-24,베트남동,
R1787,1박2일,싱글차지,엠바사더 시그니처,발코니 룸,"7,850,000",2025-12-24,2025-12-24,베트남동,
R1788,1박2일,성인,엠바사더 시그니처,이그제큐티브,"5,200,000",2025-12-24,2025-12-24,베트남동,
R1789,1박2일,아동,엠바사더 시그니처,이그제큐티브,"4,000,000",2025-12-24,2025-12-24,베트남동,
R1790,1박2일,엑스트라,엠바사더 시그니처,이그제큐티브,"5,200,000",2025-12-24,2025-12-24,베트남동,
R1791,1박2일,싱글차지,엠바사더 시그니처,이그제큐티브,"8,350,000",2025-12-24,2025-12-24,베트남동,
R1792,1박2일,성인,엠바사더 시그니처,발코니 스위트,"5,900,000",2025-12-24,2025-12-24,베트남동,
R1793,1박2일,아동,엠바사더 시그니처,발코니 스위트,"4,000,000",2025-12-24,2025-12-24,베트남동,
R1794,1박2일,엑스트라,엠바사더 시그니처,발코니 스위트,"5,900,000",2025-12-24,2025-12-24,베트남동,
R1795,1박2일,싱글차지,엠바사더 시그니처,발코니 스위트,"9,750,000",2025-12-24,2025-12-24,베트남동,
R1796,1박2일,성인,엠바사더 시그니처,캡틴 뷰 스위트,"6,250,000",2025-12-24,2025-12-24,베트남동,
R1797,1박2일,아동,엠바사더 시그니처,캡틴 뷰 스위트,"4,000,000",2025-12-24,2025-12-24,베트남동,
R1798,1박2일,엑스트라,엠바사더 시그니처,캡틴 뷰 스위트,"6,250,000",2025-12-24,2025-12-24,베트남동,
R1799,1박2일,싱글차지,엠바사더 시그니처,캡틴 뷰 스위트,"10,500,000",2025-12-24,2025-12-24,베트남동,
R1800,1박2일,성인,엠바사더 시그니처,발코니 룸,"4,150,000",2025-12-25,2025-12-30,신용카드_리무진,
R1801,1박2일,아동,엠바사더 시그니처,발코니 룸,"3,000,000",2025-12-25,2025-12-30,신용카드_리무진,
R1802,1박2일,엑스트라,엠바사더 시그니처,발코니 룸,"4,150,000",2025-12-25,2025-12-30,신용카드_리무진,
R1803,1박2일,싱글차지,엠바사더 시그니처,발코니 룸,"7,150,000",2025-12-25,2025-12-30,신용카드_리무진,
R1804,1박2일,성인,엠바사더 시그니처,이그제큐티브,"4,400,000",2025-12-25,2025-12-30,신용카드_리무진,
R1805,1박2일,아동,엠바사더 시그니처,이그제큐티브,"3,100,000",2025-12-25,2025-12-30,신용카드_리무진,
R1806,1박2일,엑스트라,엠바사더 시그니처,이그제큐티브,"4,400,000",2025-12-25,2025-12-30,신용카드_리무진,
R1807,1박2일,싱글차지,엠바사더 시그니처,이그제큐티브,"7,650,000",2025-12-25,2025-12-30,신용카드_리무진,
R1808,1박2일,성인,엠바사더 시그니처,발코니 스위트,"5,100,000",2025-12-25,2025-12-30,신용카드_리무진,
R1809,1박2일,아동,엠바사더 시그니처,발코니 스위트,"3,100,000",2025-12-25,2025-12-30,신용카드_리무진,
R1810,1박2일,엑스트라,엠바사더 시그니처,발코니 스위트,"5,100,000",2025-12-25,2025-12-30,신용카드_리무진,
R1811,1박2일,싱글차지,엠바사더 시그니처,발코니 스위트,"9,100,000",2025-12-25,2025-12-30,신용카드_리무진,
R1812,1박2일,성인,엠바사더 시그니처,캡틴 뷰 스위트,"5,450,000",2025-12-25,2025-12-30,신용카드_리무진,
R1813,1박2일,아동,엠바사더 시그니처,캡틴 뷰 스위트,"3,100,000",2025-12-25,2025-12-30,신용카드_리무진,
R1814,1박2일,엑스트라,엠바사더 시그니처,캡틴 뷰 스위트,"5,450,000",2025-12-25,2025-12-30,신용카드_리무진,
R1815,1박2일,싱글차지,엠바사더 시그니처,캡틴 뷰 스위트,"9,800,000",2025-12-25,2025-12-30,신용카드_리무진,
R1816,1박2일,성인,엠바사더 시그니처,발코니 룸,"3,750,000",2025-12-25,2025-12-30,신용카드,
R1817,1박2일,아동,엠바사더 시그니처,발코니 룸,"2,600,000",2025-12-25,2025-12-30,신용카드,
R1818,1박2일,엑스트라,엠바사더 시그니처,발코니 룸,"3,750,000",2025-12-25,2025-12-30,신용카드,
